student,assignment,attempt,grade,submission time
96155,A01,1,74,2
60307,A01,2,87,-39
99858,A02,1,18,-40
14533,A02,3,75,2
45225,A02,3,95,5
63335,A03,1,94,-26
20468,A01,4,88,4
92329,A01,4,80,87
72887,A01,1,66,8
36914,A01,2,58,18
65229,A02,1,66,35
60984,A01,2,92,47
20468,A02,3,80,-5
20216,A01,3,82,44
47468,A03,2,82,1
74928,A02,1,77,13
82815,A01,1,59,197
55090,A01,3,77,22
96155,A02,2,98,1
86956,A01,1,35,8
27545,A01,3,66,3
94559,A02,2,71,3
33179,A02,2,72,3
19005,A01,3,88,31
61701,A02,1,37,4
33179,A02,3,79,1
55690,A03,1,82,3
94372,A01,1,73,-24
66156,A02,4,85,5
96308,A03,2,86,-8
79243,A01,5,91,64
87115,A03,1,68,3
63335,A01,2,92,-28
94213,A01,2,80,6
47468,A02,1,40,31
91537,A02,3,91,44
26263,A01,2,98,3
96155,A01,5,102,-7
33179,A01,2,94,4
15541,A02,1,83,-99
91537,A01,6,75,58
67604,A02,1,75,2
78749,A01,1,52,6
80545,A02,2,97,-25
16284,A02,1,100,-41
18402,A01,2,86,5
26099,A02,3,100,3
22751,A01,5,85,7
19005,A02,3,86,4
84900,A01,2,92,4
79243,A01,6,86,63
19041,A01,1,65,-23
24386,A01,1,68,-22
23172,A01,4,80,2
74801,A01,8,92,4
93696,A01,1,57,88
55090,A02,1,22,42
29397,A01,2,80,31
24386,A01,3,72,-29
34226,A01,3,73,6
77946,A03,1,85,1
11873,A01,1,85,72
93814,A01,1,1,80
19873,A01,9,102,133
47148,A01,7,81,59
86956,A03,1,88,0
87304,A03,1,97,-24
24386,A01,6,99,-98
35443,A01,2,74,-37
92431,A01,1,69,1
47468,A01,1,71,8
34963,A01,7,97,-99
61237,A01,2,62,8
94213,A01,7,92,1
11873,A01,5,91,70
62250,A02,4,97,62
82252,A01,2,79,7
63974,A01,2,80,5
61701,A01,3,79,5
39612,A02,2,91,5
63974,A01,3,90,6
17851,A02,2,96,-22
