student,total
80429,84
93696,98
44005,88
66156,79
10406,5
74928,97
69749,90
14533,88
86732,96
70201,97
16322,84
33179,84
85058,87
83204,80
39612,81
74801,87
43025,76
34963,97
91888,80
82815,56
65769,61
19863,97
40513,1
43503,68
33791,65
86956,87
80758,66
66213,38
62702,88
26263,85
17836,77
68076,81
54454,88
14107,27
45418,68
18208,84
35817,71
99140,80
11873,93
36776,61
98255,15
63445,66
25873,90
45285,38
57270,79
88677,77
18526,92
19910,73
71843,81
25848,17
94559,83
63045,51
61454,83
60984,97
78575,82
55351,53
35716,69
23666,49
31687,69
77180,85
20627,74
19041,95
35443,80
10884,72
38048,86
77747,6
77670,73
48562,80
83410,89
65303,97
84998,91
22751,73
31379,86
88741,82
78160,36
97979,68
59819,95
77946,79
55090,80
53834,80
52655,88
35099,90
34226,100
61701,89
17692,66
82252,80
54196,100
33490,86
50671,70
31570,82
20216,98
79243,88
44069,90
92431,41
80545,84
16940,42
63335,27
78476,75
38615,76
69402,83
31251,52
29397,91
88304,101
29414,90
60064,81
49013,98
69644,88
93085,51
72887,88
53650,95
38261,79
13512,92
63974,82
78884,72
94289,44
45097,91
95382,60
30269,87
82705,59
27545,80
86274,95
83977,55
34047,26
14937,6
50543,94
79038,53
56739,81
87304,91
39908,55
57982,82
68402,30
40835,89
19873,91
20468,86
60343,85
45748,94
64773,46
18306,83
19005,95
38932,49
30122,54
96155,97
62250,95
30989,64
66495,92
15771,79
44169,14
96665,28
60955,90
11409,74
93741,94
88788,86
91537,90
36914,67
45960,73
87115,50
60307,53
78749,8
21476,95
26375,99
61237,83
40923,62
92089,47
45420,78
15528,77
32092,91
12481,50
66144,94
15458,82
79398,81
44729,8
19062,87
32348,64
24386,94
84900,88
29866,5
96443,82
96732,86
60972,80
67604,46
43586,18
93852,98
17497,18
28118,81
93814,77
11102,0
47468,80
30596,58
96110,76
45225,64
53370,85
65937,79
94213,77
89232,34
37119,84
26099,102
95172,78
55143,51
93907,86
33954,82
31787,68
83216,39
55243,82
99101,73
49753,1
15541,78
12472,36
18402,79
50361,39
41502,70
96543,61
13819,81
16284,39
47148,88
90439,58
96274,67
83185,16
55690,85
95903,91
13857,81
92329,97
26168,83
17851,78
52859,87
44853,87
10133,92
96308,84
54472,89
46193,79
94372,25
24697,90
86825,38
26996,81
46514,96
51822,86
19591,91
14840,43
23172,80
65564,77
67003,61
89623,87
17668,78
64395,80
